rule,pass_tests,fail_tests,status
angle,DRC_ANG_PASS,DRC_ANG_FAIL;DRC_FUZZ_SELF_ANG;DRC_FUZZ_ACUTE_ANG,proven
antenna,DRC_ANT_PASS,DRC_ANT_FAIL,proven
antenna_car,DRC_CAR_PASS;DRC_CAR_DIODE,DRC_CAR_FAIL,proven
antenna_electrical,ERC_ANTENNA_ELEC_PASS,ERC_ANTENNA_ELEC_FAIL,proven
area_cap,PEX_PLATE_C;PEX_FILL;PEX_MET2_CAP,PEX_NEG_AC,proven
asymmetric_enclosure,DRC_AENC_PASS,DRC_AENC_FAIL,proven
cheesing,DRC_CH_PASS;DRC_CH_SMALL,DRC_CH_FAIL,proven
corner_to_corner,DRC_C2C_PASS,DRC_C2C_FAIL,proven
coupling_cap,PEX_COUPLING_C;PEX_SPACING_100;PEX_SPACING_400;PEX_VERT_COUPLING,PEX_NEG_CC,proven
coupling_cap_met2,PEX_MET2_COUPLING,PEX_NEG_CC2,proven
differential,DIFF_INV_CROSS,DIFF_INV_NEG,proven
em_current_density,ERC_EM_PASS,ERC_EM_FAIL,proven
eol_spacing,DRC_EOL_PASS;DRC_EOL_WIDE;DRC_EOL_SIDE,DRC_EOL_FAIL,proven
esd_missing,ERC_ESD_PASS,ERC_ESD_MISSING,proven
floating_gate,ERC_FLOAT_GATE_PASS,ERC_FLOAT_GATE,proven
floating_well,ERC_FLOAT_WELL_PASS,ERC_FLOAT_WELL,proven
hv_domain_crossing,ERC_HV_PASS,ERC_HV_CROSS,proven
interlayer_cap,PEX_CROSSOVER,PEX_NEG_IL,proven
lvs,LVS_CLEAN_MATCH;LVS_SD_PERMUTE;LVS_FINGERS_MATCH;LVS_PARAM_MATCH;LVS_HVT_MATCH;LVS_LVT_MATCH;LVS_SERIES_MERGE;LVS_PARALLEL_MERGE;LVS_ISOMORPHIC,LVS_DEVICE_MISMATCH;LVS_TOPO_MISMATCH;LVS_INTENTIONAL_SHORT;LVS_INTENTIONAL_OPEN;LVS_FINGERS_MISMATCH;LVS_PARAM_MISMATCH;LVS_HVT_MISMATCH,proven
max_density,DRC_XD_PASS;DRC_DGRAD_MAX,DRC_XD_FAIL,proven
max_distance_to_tap,DRC_MDT_PASS,DRC_MDT_FAIL,proven
max_width,DRC_XW_PASS,DRC_XW_FAIL,proven
min_area,DRC_MA_PASS;DRC_MA_EXACT,DRC_MA_FAIL,proven
min_density,DRC_MD_PASS,DRC_MD_FAIL;DRC_MD_MULTI;DRC_DGRAD_MIN,proven
min_edge_length,DRC_EL_PASS,DRC_EL_FAIL,proven
min_enclosed_area,DRC_MEA_PASS,DRC_MEA_FAIL,proven
min_enclosure,DRC_ENC_PASS;DRC_ENC_CONC_PASS;DRC_WE_PASS,DRC_ENC_FAIL;DRC_ENC_UNHOSTED;DRC_ENC_CONC_FAIL;DRC_WE_FAIL;DRC_WE_NONE,proven
min_extension,DRC_EXT_PASS;DRC_EXT_H_PASS,DRC_EXT_FAIL;DRC_EXT_H_FAIL,proven
min_spacing,DRC_MS_PASS;DRC_NVS_MERGE_SPACE;DRC_FUZZ_COIN_SP,DRC_MS_FAIL;DRC_NVS_SEP_SPACE;DRC_STRICT_MERGE_SP;DRC_STRICT_SEP_SP;DRC_HIER;DRC_HIER_NEST;DRC_PATH,proven
min_spacing_diff,DRC_MSD_PASS,DRC_MSD_FAIL,proven
min_width,DRC_MW_PASS;DRC_PATH_BEND;DRC_MW_DIAG_PASS,DRC_MW_FAIL;DRC_MW_LSHAPE;DRC_FUZZ_ZERO_W;DRC_MW_DIAG_FAIL,proven
missing_tie,,ERC_MISSING_TIE,proven
multi_patterning,DRC_MP_PASS,DRC_MP_FAIL,proven
multiple_drivers,ERC_MULTI_DRIVER_PASS,ERC_MULTI_DRIVER,proven
notch,DRC_N_PASS;DRC_NVS_SEP_NOTCH;DRC_FUZZ_COIN_N;DRC_STRICT_MERGE_N,DRC_N_FAIL;DRC_NVS_MERGE_NOTCH,proven
off_grid,DRC_OG_PASS,DRC_OG_FAIL;DRC_FUZZ_OFFG,proven
overlap,DRC_OV_PASS,DRC_OV_FAIL,proven
p2p_resistance,ERC_P2P_PASS,ERC_P2P_FAIL,proven
per_net,PEX_PER_NET,PEX_NEG_PNET,proven
polygon_validity,DRC_VALID_KEYHOLE,DRC_VALID_SELF;DRC_VALID_ZERO,proven
prl_spacing,DRC_PRL_PASS,DRC_PRL_FAIL,proven
redundant_via,DRC_RV_PASS,DRC_RV_FAIL,proven
resistance,PEX_WIRE_R;PEX_LONG_WIRE_R;PEX_WIDTH_100;PEX_WIDTH_400;PEX_DIFF_M1R,PEX_NEG_R,proven
resistance_met2,PEX_MET2_R;PEX_DIFF_M2R,PEX_NEG_R2,proven
soft_connection,,ERC_SOFT_CONN,proven
supply_short,ERC_VDD_VSS_PASS,ERC_VDD_VSS_SHORT,proven
tie_high_low,ERC_TIE_HL_PASS,ERC_TIE_HL,proven
unconnected_pin,,ERC_UNCONNECTED,proven
via_array_spacing,DRC_VAS_PASS,DRC_VAS_FAIL,proven
via_resistance,PEX_VIA_R;PEX_VIA_R2,PEX_NEG_VIA,proven
wide_dependent_spacing,DRC_WDS_PASS;DRC_WDS_WIDE_OK,DRC_WDS_FAIL,proven
